"","batch","plate_well","count","run_no","contrast"
"80",3,"612 I24,614 M08,618 I16",23,27,"RC_to_SA"
"81",1,"708 J24,710 P24,712 P24",17,28,"RC_to_SA"
"82",2,"700 M16,702 L24,704 K24",134,28,"RC_to_SA"
"83",3,"612 P16,614 K16,618 P16",5,28,"RC_to_SA"
"84",1,"708 K16,710 N24,712 L08",64,29,"RC_to_SA"
"85",2,"700 K16,702 O08,704 L08",6,29,"RC_to_SA"
"86",3,"612 I08,614 J16,618 L16",19,29,"RC_to_SA"
"87",1,"708 P16,710 I24,712 O24",37,30,"RC_to_SA"
"88",2,"700 J16,702 M16,704 O16",8,30,"RC_to_SA"
"89",3,"612 I24,614 K16,618 M08",34,30,"RC_to_SA"
"90",1,"708 I24,710 J16,712 M24",9,31,"RC_to_SA"
"91",2,"700 P16,702 I16,704 P24",13,31,"RC_to_SA"
"92",3,"612 L16,614 L16,618 N16",40,31,"RC_to_SA"
"93",1,"708 O08,710 M24,712 K08",38,32,"RC_to_SA"
"94",2,"700 L24,702 M24,704 K16",152,32,"RC_to_SA"
"95",3,"612 J08,614 I08,618 L08",11,32,"RC_to_SA"
"96",1,"708 M08,710 P24,712 J24",39,33,"RC_to_SA"
"97",2,"700 M16,702 N16,704 K08",10,33,"RC_to_SA"
"98",3,"612 I16,614 O16,618 K24",29,33,"RC_to_SA"
"99",1,"708 I08,710 J24,712 L16",90,34,"RC_to_SA"
"100",2,"700 O08,702 L24,704 L08",75,34,"RC_to_SA"
"101",3,"612 J24,614 J16,618 J08",31,34,"RC_to_SA"
"102",1,"708 N08,710 I24,712 J08",53,35,"RC_to_SA"
"103",2,"700 P24,702 N08,704 J16",30,35,"RC_to_SA"
"104",3,"612 M24,614 N16,618 J16",27,35,"RC_to_SA"
"105",1,"708 P08,710 I08,712 K24",15,36,"RC_to_SA"
"106",2,"700 O16,702 M08,704 P24",33,36,"RC_to_SA"
"107",3,"612 L08,614 K08,618 J08",37,36,"RC_to_SA"
"108",1,"708 I16,710 I16,712 N24",4,37,"RC_to_SA"
"109",2,"700 I24,702 L24,704 L08",113,37,"RC_to_SA"
"110",3,"612 K08,614 O24,618 K08",82,37,"RC_to_SA"
"111",1,"708 J08,710 J24,712 J24",111,38,"RC_to_SA"
"112",2,"700 M08,702 N08,704 L08",16,38,"RC_to_SA"
"113",3,"612 N24,614 L08,618 O16",13,38,"RC_to_SA"
"114",1,"708 M24,710 K16,712 K08",30,39,"RC_to_SA"
"115",2,"700 P08,702 I16,704 P24",13,39,"RC_to_SA"
"116",3,"612 M16,614 I24,618 O08",19,39,"RC_to_SA"
"117",1,"708 P08,710 M24,712 P08",10,40,"RC_to_SA"
"118",2,"700 L08,702 L08,704 N16",24,40,"RC_to_SA"
"119",3,"612 P16,614 L08,618 O08",4,40,"RC_to_SA"
"120",1,"708 I24,710 P08,712 P16",2,41,"RC_to_SA"
"121",2,"700 I16,702 P24,704 M08",19,41,"RC_to_SA"
"122",3,"612 P08,614 L24,618 N08",139,41,"RC_to_SA"
"123",1,"708 K24,710 K24,712 M16",82,42,"RC_to_SA"
"124",2,"700 J08,702 I16,704 M16",5,42,"RC_to_SA"
"125",3,"612 L08,614 O16,618 I08",8,42,"RC_to_SA"
"126",1,"708 N08,710 M16,712 P16",6,43,"RC_to_SA"
"127",2,"700 K24,702 L16,704 N16",28,43,"RC_to_SA"
"128",3,"612 P16,614 P16,618 I24",10,43,"RC_to_SA"
"129",1,"708 M08,710 K16,712 O08",18,44,"RC_to_SA"
"130",2,"700 O16,702 I16,704 O24",20,44,"RC_to_SA"
"131",3,"612 J24,614 M16,618 L24",267,44,"RC_to_SA"
"132",1,"708 I24,710 M24,712 P16",27,45,"RC_to_SA"
"133",2,"700 N08,702 M08,704 O08",6,45,"RC_to_SA"
"134",3,"612 K08,614 N08,618 I16",11,45,"RC_to_SA"
"135",1,"708 K08,710 M16,712 J08",10,46,"RC_to_SA"
"136",2,"700 L16,702 I16,704 K16",19,46,"RC_to_SA"
"137",3,"612 O16,614 P08,618 L24",158,46,"RC_to_SA"
"138",1,"708 L16,710 J16,712 P16",4,47,"RC_to_SA"
"139",2,"700 K24,702 O24,704 P08",22,47,"RC_to_SA"
"140",3,"612 J08,614 J16,618 M08",8,47,"RC_to_SA"
"141",1,"708 J08,710 P24,712 J08",14,48,"RC_to_SA"
"142",2,"700 L24,702 K08,704 N24",180,48,"RC_to_SA"
"143",3,"612 P08,614 I08,618 J16",2,48,"RC_to_SA"
"144",1,"708 L08,710 N24,712 N16",81,49,"RC_to_SA"
"145",2,"700 P08,702 L16,704 K24",32,49,"RC_to_SA"
"146",3,"612 L24,614 M08,618 M24",243,49,"RC_to_SA"
"147",1,"708 M08,710 N24,712 L08",95,50,"RC_to_SA"
"148",2,"700 N08,702 L08,704 K08",13,50,"RC_to_SA"
"149",3,"612 O08,614 N16,618 I24",36,50,"RC_to_SA"
"150",1,"708 M24,710 N24,712 P08",30,51,"RC_to_SA"
"151",2,"700 P24,702 I24,704 N16",22,51,"RC_to_SA"
"152",3,"612 O08,614 L24,618 L16",347,51,"RC_to_SA"
"153",1,"708 I16,710 O24,712 K24",20,52,"RC_to_SA"
"154",2,"700 O16,702 L08,704 P08",7,52,"RC_to_SA"
"155",3,"612 O16,614 O08,618 N24",66,52,"RC_to_SA"
"156",1,"708 I24,710 M24,712 M24",60,53,"RC_to_SA"
"157",2,"700 K24,702 O16,704 L16",21,53,"RC_to_SA"
"158",3,"612 O24,614 O24,618 J16",69,53,"RC_to_SA"
"159",1,"708 P24,710 I08,712 P24",22,54,"RC_to_SA"
"160",2,"700 M08,702 N16,704 N16",7,54,"RC_to_SA"
"161",3,"612 I16,614 K08,618 I08",6,54,"RC_to_SA"
"162",1,"708 P24,710 M08,712 N16",27,55,"RC_to_SA"
"163",2,"700 K08,702 N08,704 L08",8,55,"RC_to_SA"
"164",3,"612 O08,614 P16,618 O16",2,55,"RC_to_SA"
"165",1,"708 O16,710 I24,712 P24",33,56,"RC_to_SA"
"166",2,"700 N16,702 P08,704 I24",131,56,"RC_to_SA"
"167",3,"612 M16,614 J16,618 P24",16,56,"RC_to_SA"
"168",1,"708 J08,710 L16,712 L08",38,57,"RC_to_SA"
"169",2,"700 P08,702 I24,704 N16",7,57,"RC_to_SA"
"170",3,"612 K08,614 P24,618 I08",28,57,"RC_to_SA"
"171",1,"708 J24,710 K08,712 J08",41,58,"RC_to_SA"
"172",2,"700 I16,702 P16,704 K24",17,58,"RC_to_SA"
"173",3,"612 M24,614 M08,618 J08",23,58,"RC_to_SA"
"174",1,"708 P16,710 N16,712 K24",18,59,"RC_to_SA"
"175",2,"700 I08,702 O08,704 I08",5,59,"RC_to_SA"
"176",3,"612 P16,614 L16,618 K16",13,59,"RC_to_SA"
"177",1,"708 J16,710 L24,712 J08",178,60,"RC_to_SA"
"178",2,"700 O16,702 O16,704 P16",5,60,"RC_to_SA"
"179",3,"612 J16,614 P24,618 O16",18,60,"RC_to_SA"
"180",1,"708 M08,710 J24,712 K08",154,61,"RC_to_SA"
"181",2,"700 J08,702 P16,704 M08",4,61,"RC_to_SA"
"182",3,"612 K16,614 N16,618 I16",30,61,"RC_to_SA"
"183",1,"708 M24,710 L24,712 K24",291,62,"RC_to_SA"
"184",2,"700 M24,702 P08,704 M08",7,62,"RC_to_SA"
"185",3,"612 L24,614 O08,618 J16",75,62,"RC_to_SA"
"186",1,"708 J08,710 J08,712 M16",4,63,"RC_to_SA"
"187",2,"700 N24,702 L24,704 M24",221,63,"RC_to_SA"
"188",3,"612 P08,614 P08,618 M24",16,63,"RC_to_SA"
"189",1,"708 O08,710 J08,712 K08",14,64,"RC_to_SA"
"190",2,"700 M24,702 P24,704 J24",116,64,"RC_to_SA"
"191",3,"612 J08,614 I16,618 J08",10,64,"RC_to_SA"
"192",1,"708 P08,710 I16,712 I16",3,65,"RC_to_SA"
"193",2,"700 K08,702 L24,704 J08",100,65,"RC_to_SA"
"194",3,"612 P24,614 K24,618 J16",54,65,"RC_to_SA"
"195",1,"708 O24,710 J08,712 K08",22,66,"RC_to_SA"
"196",2,"700 M16,702 P08,704 K24",19,66,"RC_to_SA"
"197",3,"612 M16,614 K24,618 N24",194,66,"RC_to_SA"
"198",1,"708 P16,710 N16,712 M08",24,67,"RC_to_SA"
"199",2,"700 K24,702 P16,704 N24",50,67,"RC_to_SA"
"200",3,"612 I16,614 P16,618 J24",9,67,"RC_to_SA"
"201",1,"708 P24,710 M16,712 N16",9,68,"RC_to_SA"
"202",2,"700 N16,702 P08,704 N08",4,68,"RC_to_SA"
"203",3,"612 N16,614 P08,618 J08",2,68,"RC_to_SA"
"204",1,"708 O24,710 N16,712 O08",11,69,"RC_to_SA"
"205",2,"700 I16,702 K24,704 M16",16,69,"RC_to_SA"
"206",3,"612 O24,614 M24,618 K24",173,69,"RC_to_SA"
"207",1,"708 J16,710 N24,712 O24",42,70,"RC_to_SA"
"208",2,"700 K24,702 J24,704 I24",400,70,"RC_to_SA"
"209",3,"612 O08,614 L24,618 P16",120,70,"RC_to_SA"
