"contrastName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","libName","treatment_dose","treatment_dose_unit","cell.line.name","timepoint","treatment"
"NR2AS1-1_CandL_Ngn2_6hr_10",6.50743835822098,1.62551539906272,0.594123137093326,2.73599073588574,0.00621927768684056,0.053016047167875,"C2CD4C,grch38_19","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",7.09506917777504,1.95868178430616,0.484900215271311,4.03935020571241,5.35994859143524e-05,0.00126287168195832,"INPP1,grch38_2","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",8.35424434961346,1.08041276561677,0.418980839710654,2.57866867220681,0.00991818657313017,0.0744609793748511,"BCL2L2-PABPN1,grch38_14","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",4.45550770371205,1.60399644540266,0.601577266334721,2.6663182523094,0.00766870587548793,0.0618581268251469,"INSIG1,grch38_7","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",5.4018549623308,1.83942078580952,0.534958140134737,3.43843872596505,0.000585078931950399,0.00861149509470698,"INSIG2,grch38_2","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",25.568464416156,1.41921985622121,0.282095162143447,5.03099679355553,4.87936309499705e-07,2.71512427011867e-05,"SNCA,grch38_4","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",4.11180251187257,-2.44069881738821,0.848996061374703,-2.8748058188117,0.00404276046280795,0.039185195315119,"MARCH11,grch38_5","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",17.753105785038,-1.56550277462529,0.431599654107833,-3.62721044775017,0.000286499776918355,0.00479726171407391,"C16orf93,grch38_16","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",8.65238303385272,1.21625759337231,0.459241846809885,2.64840323637974,0.00808729974346564,0.0643636765965269,"C17orf59,grch38_17","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",7.39680289032086,1.70772588657491,0.495306031397591,3.4478196878731,0.000565131175708309,0.00840086518303549,"RAB5A,grch38_3","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
"NR2AS1-1_CandL_Ngn2_6hr_10",20.9558590792615,-1.1423478608011,0.308353548779428,-3.70466908950105,0.000211666873920969,0.00384678730317956,"BEX5,grch38_X","CandL_Ngn2_6hr",10,"uM","Ngn2",6,"NR2AS1-1"
