"","batch","plate_well","count","run_no","contrast"
"80",3,"612 L16,614 L08,618 L16",109,28,"RC_to_SA"
"81",1,"708 N16,710 M24,712 I24",26,29,"RC_to_SA"
"82",2,"700 J16,702 K08,704 P24",4,29,"RC_to_SA"
"83",3,"612 K24,614 O08,618 I24",60,29,"RC_to_SA"
"84",1,"708 K24,710 O16,712 K24",20,30,"RC_to_SA"
"85",2,"700 L16,702 N16,704 L08",10,30,"RC_to_SA"
"86",3,"612 K16,614 L16,618 L08",62,30,"RC_to_SA"
"87",1,"708 O24,710 K08,712 N08",17,31,"RC_to_SA"
"88",2,"700 I16,702 J24,704 N08",24,31,"RC_to_SA"
"89",3,"612 N24,614 M16,618 O08",2,31,"RC_to_SA"
"90",1,"708 K24,710 N16,712 K24",55,32,"RC_to_SA"
"91",2,"700 P24,702 M24,704 L16",10,32,"RC_to_SA"
"92",3,"612 O24,614 I08,618 P08",10,32,"RC_to_SA"
"93",1,"708 K24,710 N16,712 M24",14,33,"RC_to_SA"
"94",2,"700 L08,702 J16,704 N16",6,33,"RC_to_SA"
"95",3,"612 N16,614 P24,618 P08",6,33,"RC_to_SA"
"96",1,"708 I08,710 I08,712 M08",17,34,"RC_to_SA"
"97",2,"700 N24,702 M08,704 J08",22,34,"RC_to_SA"
"98",3,"612 K08,614 P24,618 M08",10,34,"RC_to_SA"
"99",1,"708 J24,710 L16,712 K24",57,35,"RC_to_SA"
"100",2,"700 N24,702 M08,704 J08",22,35,"RC_to_SA"
"101",3,"612 I16,614 O24,618 N08",27,35,"RC_to_SA"
"102",1,"708 N08,710 L16,712 O24",1,36,"RC_to_SA"
"103",2,"700 O16,702 K24,704 J16",18,36,"RC_to_SA"
"104",3,"612 M08,614 I16,618 K16",8,36,"RC_to_SA"
"105",1,"708 J08,710 I08,712 I24",30,37,"RC_to_SA"
"106",2,"700 K16,702 K16,704 N16",5,37,"RC_to_SA"
"107",3,"612 O08,614 N08,618 I08",5,37,"RC_to_SA"
"108",1,"708 M24,710 M08,712 K16",41,38,"RC_to_SA"
"109",2,"700 K16,702 N24,704 P24",25,38,"RC_to_SA"
"110",3,"612 N16,614 K08,618 J08",28,38,"RC_to_SA"
"111",1,"708 L16,710 K08,712 O16",10,39,"RC_to_SA"
"112",2,"700 J16,702 O08,704 M16",2,39,"RC_to_SA"
"113",3,"612 M24,614 P24,618 L16",98,39,"RC_to_SA"
"114",1,"708 K16,710 L08,712 O16",9,40,"RC_to_SA"
"115",2,"700 K16,702 M16,704 J16",7,40,"RC_to_SA"
"116",3,"612 M08,614 J16,618 I08",4,40,"RC_to_SA"
"117",1,"708 L16,710 J16,712 O16",4,41,"RC_to_SA"
